student_id,student_name,mail,specialization,machine_learning_ut1,machine_learning_ut2,machine_learning_mt1,machine_learning_mt2,machine_learning_attendance,machine_learning_assessments,machine_learning_internals,iot_ut1,iot_ut2,iot_mt1,iot_mt2,iot_attendance,iot_assessments,iot_internals,data_science_ut1,data_science_ut2,data_science_mt1,data_science_mt2,data_science_attendance,data_science_assessments,data_science_internals,cyber_security_ut1,cyber_security_ut2,cyber_security_mt1,cyber_security_mt2,cyber_security_attendance,cyber_security_assessments,cyber_security_internals,dbms_ut1,dbms_ut2,dbms_mt1,dbms_mt2,dbms_attendance,dbms_assessments,dbms_internals
2075,Pamela Thompson,vtu2075@veltech.edu.in,Cyber Security,8,2,6,4,5,1,16,1,3,3,20,2,4,19.5,7,7,2,3,3,3,15.5,6,7,8,20,3,2,25.5,9,10,9,11,5,1,25.5
3171,Tanya Fuentes,vtu3171@veltech.edu.in,General,5,1,2,5,4,1,11.5,3,8,10,7,2,2,18,4,4,18,1,1,3,17.5,6,5,2,7,1,2,13,4,8,19,2,3,4,23.5
6765,Christopher Tucker,vtu6765@veltech.edu.in,Data Analytics,1,2,2,4,3,5,12.5,9,4,2,12,5,5,23.5,6,6,15,10,4,4,26.5,9,9,20,19,4,3,35.5,3,5,13,13,2,5,24
792,Lisa Collins,vtu792@veltech.edu.in,Artificial Intelligence,10,9,6,8,3,3,22.5,8,7,7,4,3,5,21,4,10,9,16,1,4,24.5,4,3,14,18,3,4,26.5,3,2,9,13,4,5,22.5
7737,Lucas Berry,vtu7737@veltech.edu.in,Artificial Intelligence,7,5,9,12,1,1,18.5,8,10,6,14,4,2,25,9,6,5,3,1,4,16.5,9,3,12,2,3,1,17,3,9,9,1,4,4,19
4213,Ronald White,vtu4213@veltech.edu.in,Cyber Security,1,2,15,4,3,5,19,8,6,7,10,3,3,21.5,5,6,4,2,3,3,14.5,2,2,9,11,2,5,19,9,9,3,19,3,1,24
6596,Anthony Fleming,vtu6596@veltech.edu.in,Artificial Intelligence,1,3,20,16,3,5,28,2,8,20,2,3,1,20,6,8,2,7,3,5,19.5,1,2,9,4,3,2,13,3,4,12,16,3,5,25.5
865,Roy Carson,vtu865@veltech.edu.in,Cyber Security,9,7,7,20,2,5,28.5,9,10,1,18,5,1,25,10,8,20,7,2,2,26.5,2,9,3,18,1,1,18,3,1,1,15,2,2,14
817,Sergio Cox,vtu817@veltech.edu.in,Cyber Security,7,2,17,10,2,5,25,5,5,11,13,2,1,20,2,8,15,12,4,4,26.5,5,8,7,17,2,5,25.5,8,10,18,1,1,4,23.5
7411,Laura Foster,vtu7411@veltech.edu.in,Artificial Intelligence,4,9,19,2,4,4,25,10,7,1,12,3,1,19,6,9,11,9,1,2,20.5,6,4,17,12,5,5,29.5,4,6,5,14,3,1,18.5
